76,-16,6099.46,27.9783,10.478,0.0000161,14,0.0308938
76,-16,5924.02,27.6388,12.3139,0.0000104,14,0.0291655
76,-15,5323.93,26.6977,8.44109,0.0000216,14,0.0303339
76,-15,5172.43,25.0391,9.43891,0.0000129,13.9,0.0330094
76,-15,5170.89,25.7726,7.10668,0.0000147,13.9,0.0315416
77,-15,5269.58,25.7688,6.9735,0.0000164,13.8,0.031423
77,-15,5020.17,24.9798,7.2802,0.0000177,13.8,0.0306593
77,-14,5515.4,43.8175,6.54384,0.0000209,13.7,0.0326033
77,-14,5711.2,24.9297,7.47243,0.0000144,13.7,0.0322874
77,-14,5336.72,24.9544,9.30298,0.0000183,13.7,0.0322123
77,-14,5344.51,24.9914,7.99063,0.000022,13.6,0.0308363
78,-14,5287.78,26.344,7.91991,0.0000166,13.6,0.0332579
78,-13,5778.52,25.1026,8.7684,0.0000148,13.6,0.031899
78,-13,5388.5,21.3899,6.54134,0.00000803,13.6,0.0330468
78,-13,5803.88,26.6512,7.79785,0.0000141,13.6,0.0334996
78,-13,5076.76,25.5824,7.86254,0.0000129,13.6,0.0333175
78,-13,5574.05,26.4169,10.1288,0.0000122,13.6,0.0331286
79,-12,6410.8,27.0787,10.5732,0.0000136,13.6,0.0349234
79,-12,5838.87,26.3633,10.3554,0.0000146,13.6,0.0350181
79,-12,5815.58,25.6811,8.55618,0.0000145,13.6,0.0369448
79,-12,6994.49,24.7457,10.1828,0.0000142,13.6,0.037278
79,-12,6328.28,25.3268,9.29276,0.0000114,13.6,0.0367095
79,-11,6438.02,24.1981,9.01256,0.0000214,13.6,0.0398916
79,-11,6657.85,24.4614,8.06242,0.0000157,13.6,0.0429859
80,-11,7053.33,24.7582,9.16057,0.0000164,13.6,0.045914
80,-11,6723.57,23.8679,8.58447,0.00000917,13.6,0.050053
80,-11,6778.12,22.4469,7.68269,0.0000136,13.5,0.0550052
80,-11,6997.26,23.0368,8.04151,0.0000216,13.6,0.055359
80,-10,7325.72,22.5666,8.57865,0.00000939,13.5,0.0626889
80,-10,7242.17,22.3795,9.06049,0.0000161,13.6,0.0715195
81,-10,7556.58,21.9276,8.7949,0.0000191,13.5,0.0829705
81,-10,7904.77,21.8795,8.45788,0.0000226,13.5,0.0954757
81,-10,7438.91,21.5912,8.83512,0.0000157,13.5,0.109021
81,-9,7871.51,21.5407,8.79912,0.0000126,13.5,0.128972
81,-9,8136.74,21.2712,8.76492,0.0000141,13.5,0.152621
81,-9,8058.78,20.9237,8.58537,0.0000136,13.5,0.183417
82,-9,8108.38,21.1063,8.96905,0.00001,13.5,0.220417
82,-9,8137.63,21.0195,8.74663,0.00001,13.5,0.267893
82,-8,8295.38,21.2382,8.92562,0.0000124,13.5,0.327743
82,-8,8243.75,21.085,8.91768,0.0000135,13.5,0.397562
82,-8,8383.74,21.317,8.98198,0.0000117,13.5,0.486855
82,-8,8487.99,21.4709,9.0257,0.0000169,13.5,0.598272
82,-8,8500.71,21.5528,9.07992,0.0000136,13.5,0.737576
83,-7,8636.08,21.7862,9.10151,0.0000125,13.5,0.908124
83,-7,8621.43,21.8129,9.14479,0.0000201,13.5,1.12646
83,-7,8634.56,21.8407,9.10613,0.0000129,13.6,1.39609
83,-7,8673.19,21.8164,9.0874,0.0000175,13.6,1.73451
83,-7,8563.24,21.7318,9.02532,0.0000132,13.6,2.15911
83,-6,8449.47,21.5296,8.92786,0.0000189,13.5,2.69407
84,-6,8301.13,21.1914,8.76787,0.0000115,13.5,3.37469
84,-6,8078.55,20.7615,8.59773,0.0000176,13.5,4.23965
84,-6,7826.32,20.2829,8.40277,0.0000121,13.5,5.34765
84,-6,7543.13,19.7523,8.16748,0.0000176,13.5,6.75618
84,-5,7269.5,19.2678,7.96773,0.0000254,13.5,8.56318
84,-5,7014.15,18.7646,7.77816,0.0000206,13.5,10.8467
84,-5,6783.98,18.327,7.60714,0.0000262,13.5,13.7742
85,-5,6599.75,17.9702,7.49278,0.0000339,13.4,17.4844
85,-5,6439.84,17.6883,7.3928,0.000034,13.4,22.1672
85,-4,6304.95,17.4717,7.33995,0.000039,13.4,28.0905
85,-4,6211.44,17.387,7.33153,0.0000442,13.4,35.4712
