44,33,22,7,3,2,1
35,30,17,13,4,2,2
55,42,38,24,15,10,4
57,45,29,4,0,0,2
45,28,13,8,6,2,4
75,34,9,3,0,0,1
126,75,27,7,1,0,1
121,93,69,49,36,31,2
44,37,25,19,15,13,1
37,30,21,10,1,0,4
42,27,12,6,3,3,1
213,128,73,49,29,18,2
37,26,21,17,2,2,1
99,51,27,18,16,10,4
47,20,9,3,2,2,0
64,27,15,5,2,2,0
233,175,120,94,77,63,1
218,138,54,35,27,16,4
224,158,100,76,61,52,1
53,40,19,7,2,0,1
126,56,26,10,3,1,3
240,157,78,34,12,7,0
125,89,67,49,35,23,3
208,134,62,35,26,23,0
168,94,24,8,1,0,3
110,67,30,16,12,11,4
214,151,85,69,57,49,3
71,46,31,22,19,18,3
198,153,94,66,51,40,2
193,133,86,71,64,53,3
275,224,164,124,109,98,4
41,8,2,2,2,2,4
93,71,45,29,18,16,3
59,37,5,0,0,0,3
31,6,3,2,2,2,1
198,115,61,36,32,23,4
202,129,58,31,13,11,3
90,30,16,12,11,9,1
216,153,103,82,65,55,1
104,65,36,27,19,13,1
26,11,8,6,2,2,1
89,59,43,34,33,27,3
71,22,12,11,11,10,1
133,86,45,28,22,17,4
265,201,110,64,37,15,4
64,54,40,31,27,23,1
201,161,127,102,81,70,3
192,156,127,103,88,77,3
185,131,82,58,43,28,3
230,177,125,83,65,52,3
35,15,10,4,3,1,1
169,122,82,57,43,30,2
42,4,2,2,2,2,1
54,10,2,2,2,2,1
31,22,6,2,2,2,1
132,64,26,11,8,5,4
197,141,113,91,73,66,3
28,13,7,3,2,2,1
50,10,3,3,3,3,1
37,3,3,3,3,2,1
182,116,63,46,36,27,3
82,38,11,6,5,5,4
190,118,67,37,25,15,4
63,22,4,4,3,3,1
191,124,71,46,36,29,3
147,90,55,38,26,22,2
41,26,11,4,3,2,1
191,126,59,36,22,14,3
124,83,58,35,21,17,1
168,111,65,37,21,9,2
36,23,16,11,8,5,4
197,114,43,27,19,13,4
170,102,60,44,37,28,1
175,122,57,32,18,8,4
150,80,31,20,15,5,2
59,40,23,10,0,0,4
38,25,14,8,6,4,1
218,127,76,59,48,39,1
206,132,49,28,14,12,1
99,46,22,13,9,7,4
65,32,19,14,11,7,0
159,94,53,31,22,11,1
53,30,17,13,9,7,3
154,90,40,24,20,17,2
32,28,15,7,2,2,2
33,27,19,14,8,1,2
35,28,13,7,2,2,4
127,78,28,20,11,6,3
120,72,39,29,16,16,1
73,25,13,10,8,5,0
107,77,35,21,15,6,3
139,97,53,35,20,11,4
33,28,15,12,8,2,1
108,50,21,11,9,7,4
197,110,63,48,39,33,3
50,30,12,8,5,2,1
135,77,40,29,21,17,1
194,144,92,76,54,44,0
77,35,25,21,20,15,3
31,29,19,10,6,0,0
71,48,33,18,11,9,0
28,25,19,10,8,4,1
152,87,43,23,17,12,0
71,45,26,12,8,3,3
229,153,95,67,36,32,3
271,214,117,72,48,28,4
83,51,33,14,7,7,1
42,29,17,3,3,2,1
29,27,16,9,4,3,2
171,92,47,27,15,6,1
195,157,95,60,43,29,3
42,28,14,7,0,0,1
96,80,57,45,33,28,1
185,120,70,45,31,24,3
120,76,39,29,22,13,1
173,111,77,60,49,47,1
195,125,73,47,37,27,3
39,22,14,7,3,3,0
183,122,65,36,21,20,0
241,172,99,65,47,31,4
133,76,36,12,7,6,1
219,138,66,37,17,14,3
