56,38,24,16,11,9,8,4,4,3,3,86,42,36,32,25,24,21,17,14,11,2,1,0,0,1
15,8,4,2,2,2,2,1,1,1,1,32,8,7,6,4,3,2,2,2,2,0,0,0,0,0
165,109,58,31,20,10,3,1,0,0,0,192,132,104,83,66,51,43,33,29,25,1,0,0,0,3
95,62,43,38,30,26,26,23,22,22,22,139,71,56,46,43,39,38,38,36,32,11,11,7,3,1
27,8,0,0,0,0,0,0,0,0,0,48,18,7,3,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,28,3,1,0,0,0,0,0,0,0,147,51,21,9,4,2,1,1,1,0,0,0,0,0,0
103,57,44,37,36,33,30,27,25,25,24,121,68,53,44,43,40,38,36,36,36,12,11,10,9,1
32,3,0,0,0,0,0,0,0,0,0,75,7,1,0,0,0,0,0,0,0,0,0,0,0,0
152,94,48,30,16,11,8,3,2,1,1,168,117,80,65,49,42,34,29,24,17,0,0,0,0,3
98,29,4,1,0,0,0,0,0,0,0,130,51,24,12,4,2,2,0,0,0,0,0,0,0,0
105,54,21,12,8,7,5,4,0,0,0,122,65,43,31,22,18,14,12,9,8,1,0,0,0,0
126,91,77,63,58,52,44,40,34,29,27,132,105,86,77,77,73,64,62,61,58,16,7,0,0,3
159,81,17,7,1,0,0,0,0,0,0,192,108,68,36,22,12,8,7,5,3,0,0,0,0,2
14,6,4,2,2,2,1,0,0,0,0,27,10,6,5,4,4,3,2,2,2,0,0,0,0,0
84,30,3,2,0,0,0,0,0,0,0,122,50,26,14,5,2,2,1,1,0,0,0,0,0,0
69,40,21,12,7,3,1,0,0,0,0,90,48,35,28,22,16,12,11,10,8,0,0,0,0,0
130,45,14,7,0,0,0,0,0,0,0,185,73,38,24,16,13,8,6,3,2,0,0,0,0,1
55,29,24,21,19,18,18,18,16,16,15,75,37,27,24,22,22,22,21,21,19,7,6,4,1,1
26,5,2,1,1,0,0,0,0,0,0,44,5,3,2,2,2,1,1,1,1,0,0,0,0,0
68,21,6,0,0,0,0,0,0,0,0,88,34,16,10,6,3,0,0,0,0,0,0,0,0,0
143,93,39,20,10,2,0,0,0,0,0,170,106,78,58,39,33,27,17,13,10,0,0,0,0,2
137,87,54,43,41,41,38,32,28,25,24,151,94,73,61,50,45,43,43,41,41,13,11,8,4,3
27,7,1,0,0,0,0,0,0,0,0,38,14,5,2,1,0,0,0,0,0,0,0,0,0,0
230,147,94,80,70,60,48,39,37,29,24,249,174,121,105,92,86,83,77,75,69,19,7,0,0,3
176,132,98,77,71,65,60,56,51,47,39,201,137,122,109,97,92,85,75,73,71,24,17,11,2,3
202,132,79,60,52,49,42,34,26,25,21,230,155,116,88,80,68,62,58,55,52,15,8,3,0,3
209,155,114,91,85,77,70,64,57,50,40,221,171,146,125,110,99,96,92,85,83,26,18,7,4,3
93,62,34,27,22,18,12,5,4,4,3,111,76,54,44,36,32,30,27,26,21,3,1,0,0,1
190,111,60,46,35,29,22,21,21,20,19,227,132,100,75,61,55,50,41,38,33,11,7,4,0,4
264,211,138,117,100,88,82,76,71,68,66,284,233,191,158,135,127,117,109,105,96,35,27,19,11,3
26,19,16,13,11,8,3,3,2,2,2,46,20,19,19,17,16,15,13,13,13,2,1,0,0,0
119,61,35,23,15,11,9,6,3,2,1,144,81,55,45,38,34,29,23,22,21,3,1,0,0,1
182,126,83,66,56,49,45,39,38,34,29,206,148,121,98,86,76,71,68,66,61,20,15,8,6,3
9,0,0,0,0,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0
168,117,80,66,55,44,41,35,30,26,22,200,145,114,96,87,80,72,69,62,59,16,9,4,0,4
174,108,40,23,7,3,1,0,0,0,0,216,135,98,63,48,37,32,25,16,13,0,0,0,0,3
7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,53,40,39,36,33,30,27,27,26,24,159,64,50,44,41,40,39,38,38,36,13,12,10,5,2
39,0,0,0,0,0,0,0,0,0,0,93,4,0,0,0,0,0,0,0,0,0,0,0,0,1
18,3,1,0,0,0,0,0,0,0,0,91,4,3,2,2,0,0,0,0,0,0,0,0,0,1
216,152,111,85,69,60,55,51,45,41,37,276,167,145,127,111,100,89,82,77,72,23,18,14,12,3
38,7,4,3,3,2,2,1,1,1,1,83,6,5,5,4,4,4,4,3,3,1,1,1,1,1
204,141,88,68,57,52,47,42,40,38,37,234,170,124,102,87,79,72,65,61,57,19,17,12,8,4
206,116,59,45,35,28,20,13,7,1,1,206,120,82,65,52,44,38,35,34,29,2,0,0,0,4
65,35,16,5,3,2,2,1,1,1,1,102,47,28,17,13,8,7,7,6,5,1,1,1,1,1
179,113,79,56,48,36,33,31,27,23,21,201,129,95,80,66,54,49,47,44,43,15,10,7,5,3
207,157,118,91,78,67,62,56,51,47,45,234,166,139,119,106,97,88,84,80,73,24,22,15,13,3
183,150,114,93,73,57,47,39,29,26,21,202,156,135,116,92,84,72,66,60,54,9,5,2,1,4
286,225,165,112,91,67,51,46,41,35,33,294,240,205,183,154,133,112,96,90,82,25,18,12,7,3
87,65,41,31,28,23,20,19,18,14,12,140,58,35,29,26,25,23,22,18,16,11,9,7,7,1
150,120,78,50,39,33,26,25,23,22,21,193,126,91,75,60,51,43,42,40,36,14,10,8,8,4
102,65,45,41,36,34,32,29,28,27,27,137,72,56,39,32,32,31,31,30,29,11,6,5,4,1
145,106,75,51,43,34,25,19,16,10,5,199,112,86,72,66,61,52,48,46,41,13,12,8,7,4
142,101,83,67,59,53,52,50,48,47,42,169,87,63,52,48,45,43,41,41,40,16,10,8,6,4
235,191,138,109,97,89,78,74,70,67,66,265,202,161,138,124,112,105,100,96,89,37,25,17,13,3
262,207,147,120,97,80,70,56,52,42,40,290,236,200,166,146,125,110,95,76,68,18,10,8,7,3
126,115,94,81,73,70,65,59,54,50,50,150,96,82,78,72,68,61,57,55,51,22,18,9,9,3
170,136,114,108,95,92,89,85,83,81,81,206,132,110,96,92,83,78,72,69,63,24,17,15,12,3
176,151,129,115,107,100,98,93,88,86,81,207,148,126,107,100,92,89,85,81,79,30,27,22,16,4
231,170,83,53,43,27,21,16,13,11,11,255,193,150,125,104,86,81,74,65,62,16,8,3,2,4
244,187,148,114,92,81,71,61,55,49,47,235,180,157,131,114,101,90,88,82,76,35,35,31,27,4
213,149,105,71,52,41,36,28,22,21,17,263,196,160,141,127,118,109,104,96,92,24,18,16,13,4
165,131,104,92,82,76,69,62,49,42,38,209,121,94,82,67,62,57,50,45,42,16,7,6,5,4
224,159,108,68,50,39,28,22,20,18,14,236,177,136,111,95,87,82,75,72,66,12,8,5,3,4
174,119,72,58,43,39,35,28,25,23,21,207,140,85,59,47,41,34,32,32,32,15,11,11,11,3
139,115,87,72,67,61,60,54,53,51,50,140,104,80,73,64,54,51,48,47,46,21,16,14,13,4
223,157,93,71,56,54,51,48,46,42,41,241,178,134,103,77,57,41,35,27,23,7,6,5,5,4
100,59,43,34,26,26,22,21,20,18,17,125,69,40,27,21,19,15,13,10,8,4,2,1,1,1
159,109,70,55,54,48,43,37,35,33,31,178,109,80,65,52,42,37,28,25,18,0,0,0,0,4
220,187,140,106,92,77,70,62,55,51,46,223,189,160,142,120,110,94,81,74,70,14,8,2,2,4
134,94,55,48,42,40,38,35,33,32,31,145,85,59,39,31,28,24,20,16,13,0,0,0,0,4
68,55,39,17,8,6,5,5,5,5,4,102,38,19,9,6,4,3,1,0,0,0,0,0,0,0
145,86,50,38,27,23,19,15,13,10,7,167,99,69,57,50,46,42,38,33,29,8,3,0,0,4
102,66,48,43,36,31,29,27,26,25,22,157,75,58,51,49,47,46,43,37,36,14,11,7,3,2
178,118,73,53,35,30,20,14,10,4,1,193,124,98,81,75,67,61,53,49,43,7,0,0,0,3
13,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,20,18,14,13,13,13,11,11,11,10,88,25,19,18,18,17,15,14,13,13,4,4,4,4,1
51,19,6,2,0,0,0,0,0,0,0,82,34,17,12,8,5,3,2,2,0,0,0,0,0,1
126,55,15,4,2,2,0,0,0,0,0,166,84,46,27,18,11,7,6,4,3,0,0,0,0,1
49,12,1,0,0,0,0,0,0,0,0,99,19,9,3,1,1,1,0,0,0,0,0,0,0,0
49,16,2,0,0,0,0,0,0,0,0,64,22,10,5,2,2,2,1,0,0,0,0,0,0,1
136,67,29,18,16,15,11,11,11,8,5,178,99,67,49,33,28,23,19,16,16,4,2,1,0,3
33,9,1,0,0,0,0,0,0,0,0,66,19,4,3,1,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
