6,3,1,0,0,0,0,0,0,0,0,7,3,3,1,1,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5,1,0,0,0,0,0,0,0,0,16,6,2,1,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,11,3,1,1,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,30,5,0,0,0,0,0,0,0,0,87,45,25,12,7,4,1,0,0,0,0,0,0,0,1
44,27,18,17,16,16,16,13,13,12,12,49,33,24,20,18,17,17,16,16,16,7,6,5,5,1
9,4,0,0,0,0,0,0,0,0,0,15,5,2,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0
111,57,23,14,7,3,1,0,0,0,0,131,77,48,37,25,20,17,13,10,7,0,0,0,0,2
6,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,8,0,0,0,0,0,0,0,0,0,53,14,6,2,0,0,0,0,0,0,0,0,0,0,0
17,1,0,0,0,0,0,0,0,0,0,26,3,1,1,0,0,0,0,0,0,0,0,0,0,0
23,4,1,0,0,0,0,0,0,0,0,40,7,4,3,2,1,1,0,0,0,0,0,0,0,0
98,73,46,34,28,24,21,16,8,3,3,114,77,68,55,49,45,37,33,31,29,4,1,0,0,3
104,61,25,18,13,6,2,1,0,0,0,120,74,48,36,26,24,19,17,16,16,0,0,0,0,2
125,87,61,53,46,45,38,35,28,25,22,130,99,81,69,59,54,53,52,48,47,16,9,3,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,17,6,1,0,0,0,0,0,0,0,59,26,14,9,6,4,3,1,0,0,0,0,0,0,0
111,67,34,13,3,2,0,0,0,0,0,126,82,66,46,37,29,19,13,7,5,0,0,0,0,2
12,9,6,3,3,0,0,0,0,0,0,13,9,9,8,6,5,4,3,3,3,0,0,0,0,0
77,50,28,19,12,11,10,10,8,6,4,92,58,40,33,30,24,21,17,17,15,4,1,0,0,2
48,20,7,2,1,0,0,0,0,0,0,58,23,13,8,6,6,3,2,2,1,0,0,0,0,1
52,27,18,12,11,10,5,4,3,3,2,72,41,24,20,18,17,15,12,12,11,1,1,0,0,0
112,85,56,51,43,38,29,22,12,9,3,123,95,73,64,58,53,52,48,46,46,8,0,0,0,3
40,29,21,19,17,16,16,15,15,15,12,48,30,25,23,21,21,20,19,18,17,7,5,4,2,1
68,47,24,14,12,9,7,3,2,1,1,81,57,42,30,24,22,17,14,12,12,1,0,0,0,2
104,68,40,33,30,26,21,19,18,16,12,113,82,59,45,38,35,33,33,30,29,7,5,4,3,4
128,106,79,62,57,53,50,46,39,35,31,138,114,101,86,76,67,64,59,58,57,20,9,3,0,4
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,2,2,2,2,2,0,0,0,0,15,8,4,3,3,2,2,2,2,2,1,0,0,0,1
10,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,64,41,29,28,21,16,14,13,9,7,116,78,60,48,41,34,32,30,29,28,7,1,0,0,3
62,35,13,6,1,1,1,0,0,0,0,81,44,30,20,15,11,9,7,6,4,0,0,0,0,1
28,6,1,0,0,0,0,0,0,0,0,34,12,4,2,1,1,0,0,0,0,0,0,0,0,0
122,93,78,63,52,46,41,37,29,25,20,132,103,89,82,76,68,63,60,57,53,15,8,4,0,3
20,2,0,0,0,0,0,0,0,0,0,33,6,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,56,41,32,31,25,22,19,18,17,16,68,56,51,42,39,34,32,31,30,27,10,7,7,2,3
39,14,9,8,8,8,8,8,8,7,7,51,18,13,12,10,9,8,8,8,8,5,2,2,2,0
81,55,31,20,16,12,8,8,7,7,7,94,65,49,41,33,27,26,19,17,15,5,4,4,3,3
122,82,42,22,13,7,4,1,0,0,0,133,96,71,52,41,38,28,23,16,14,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,65,48,39,37,34,33,30,28,27,27,101,69,58,52,46,42,40,38,35,35,14,12,9,7,3
119,105,93,76,65,59,52,50,48,44,42,125,111,104,98,93,88,79,73,66,63,23,20,10,4,3
84,63,38,23,15,4,1,0,0,0,0,91,72,59,50,39,36,30,22,19,18,0,0,0,0,2
115,96,66,46,38,29,19,16,13,10,8,128,103,90,79,58,52,48,46,40,38,8,1,1,0,3
11,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0
51,33,18,13,11,8,5,3,1,0,0,61,40,30,27,21,17,14,13,13,12,1,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,4,0,0,0,0,0,0,0,0,0,44,11,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,41,15,7,6,3,3,2,2,1,1,83,55,39,30,21,16,14,8,7,6,1,0,0,0,2
97,61,44,33,30,27,23,23,22,19,17,113,77,58,50,44,36,35,31,29,26,10,7,5,5,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,28,8,2,2,1,0,0,0,0,0,80,52,28,23,13,7,5,4,2,2,0,0,0,0,2
31,13,3,0,0,0,0,0,0,0,0,47,18,13,8,5,3,3,1,0,0,0,0,0,0,1
97,47,12,6,5,4,0,0,0,0,0,121,74,43,27,20,14,12,8,6,5,0,0,0,0,3
35,5,0,0,0,0,0,0,0,0,0,48,11,3,1,1,0,0,0,0,0,0,0,0,0,1
68,41,18,4,2,1,1,1,1,0,0,80,55,37,31,22,18,13,8,5,4,1,0,0,0,2
40,11,2,2,0,0,0,0,0,0,0,59,24,10,7,2,2,2,2,2,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,24,2,0,0,0,0,0,0,0,0,95,47,24,11,6,1,0,0,0,0,0,0,0,0,2
15,7,3,1,1,1,0,0,0,0,0,26,10,6,5,3,3,2,1,1,1,0,0,0,0,1
85,57,33,16,10,6,3,0,0,0,0,102,67,55,42,34,32,25,19,16,12,0,0,0,0,3
2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,48,16,8,5,2,1,1,0,0,0,114,67,43,30,18,12,9,8,7,6,0,0,0,0,2
85,62,47,41,37,28,25,19,17,14,10,96,73,58,51,49,46,45,41,41,39,9,2,0,0,3
55,36,20,11,5,2,1,1,0,0,0,70,43,34,25,20,18,14,12,8,7,0,0,0,0,1
33,13,1,1,1,0,0,0,0,0,0,40,18,7,2,1,1,1,1,1,1,0,0,0,0,0
15,7,4,0,0,0,0,0,0,0,0,21,9,5,5,5,3,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,53,27,24,23,22,17,16,14,11,9,113,67,50,33,28,25,24,24,23,23,6,1,0,0,3
89,50,16,10,2,2,2,2,2,2,2,100,63,44,30,23,12,11,10,9,3,1,1,0,0,2
15,4,4,2,0,0,0,0,0,0,0,22,5,4,4,4,4,2,2,2,0,0,0,0,0,0
31,9,5,3,2,0,0,0,0,0,0,46,17,7,6,6,5,4,4,2,2,0,0,0,0,0
50,24,12,9,6,0,0,0,0,0,0,70,35,21,18,15,12,12,10,9,9,0,0,0,0,0
18,10,6,6,6,6,5,5,5,5,3,36,10,8,6,6,6,6,6,6,6,3,1,1,0,0
48,16,2,0,0,0,0,0,0,0,0,72,26,10,5,2,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
