67,30,13,6,6,6,4,2,2,1
67,29,16,4,3,2,2,2,2,2
86,42,38,29,28,21,17,13,10,4
74,37,17,5,0,0,0,0,0,2
85,19,9,4,3,2,2,2,2,4
96,22,4,1,0,0,0,0,0,1
171,89,55,27,21,14,8,5,3,1
132,90,72,62,55,50,45,42,38,2
76,37,22,15,10,9,9,5,3,1
53,27,9,4,4,4,3,2,1,4
76,20,7,6,6,4,4,4,3,1
238,152,114,97,76,61,51,38,32,2
79,21,9,4,4,4,4,4,3,1
130,67,47,26,18,12,11,9,7,4
92,8,5,5,4,4,4,3,2,0
129,27,15,7,6,4,3,2,2,0
254,191,155,128,111,99,84,74,66,1
229,144,95,64,43,36,29,24,21,4
235,171,124,99,81,71,64,62,58,1
62,35,6,2,2,1,1,0,0,1
154,77,39,26,13,6,5,3,2,3
267,188,145,111,87,66,48,34,19,0
124,89,73,63,55,50,45,38,31,3
211,145,106,76,61,48,40,34,32,0
157,80,48,23,12,9,4,3,3,3
148,71,38,28,23,20,18,14,14,4
236,173,125,96,81,70,63,54,52,3
114,48,36,28,26,24,23,22,21,3
222,166,139,106,88,79,64,52,42,2
213,151,121,99,85,79,72,69,65,3
288,245,206,182,157,138,124,115,111,4
73,19,2,2,2,2,2,2,2,4
101,64,46,32,20,8,7,5,3,3
88,34,17,6,2,0,0,0,0,3
59,21,5,3,3,3,3,2,2,1
218,124,88,66,52,41,38,35,33,4
220,143,96,75,55,41,31,24,20,3
98,38,16,12,10,6,3,0,0,1
235,169,132,114,103,93,84,79,74,1
132,72,55,41,29,25,23,21,17,1
73,13,9,7,7,6,4,4,4,1
122,59,54,45,41,36,34,33,32,3
119,33,17,16,13,12,11,11,11,1
164,100,70,55,46,39,35,28,25,4
271,213,162,119,87,71,52,42,28,4
82,58,46,41,34,32,27,26,23,1
227,166,141,126,113,95,89,80,72,3
217,172,147,135,127,120,107,98,89,3
222,152,119,100,81,74,63,53,48,3
273,197,160,139,113,102,92,83,74,3
73,15,10,7,6,5,3,2,2,1
183,139,108,95,79,68,58,54,50,2
71,5,3,3,3,3,3,2,2,1
113,29,8,5,4,3,3,2,2,1
59,24,13,2,2,2,2,2,2,1
185,93,62,39,28,20,18,10,9,4
243,166,134,115,103,92,82,73,68,3
69,6,4,3,3,3,3,3,3,1
90,17,5,3,3,3,3,3,3,1
78,6,3,3,3,3,3,3,3,1
205,142,91,67,45,34,25,20,13,3
130,40,28,19,14,9,9,7,5,4
233,150,107,75,62,48,39,31,29,4
117,19,7,5,5,4,4,4,4,1
220,154,116,95,76,66,58,51,46,3
181,118,89,76,66,54,48,36,28,2
53,9,5,5,5,5,4,4,4,1
229,145,97,67,45,29,20,16,12,3
143,93,68,51,34,26,22,16,12,1
195,135,97,71,58,50,41,35,30,2
67,29,22,13,8,8,7,6,6,4
239,146,95,66,44,27,20,17,12,4
210,128,85,69,57,51,48,42,41,1
194,128,83,50,38,26,18,15,10,4
144,75,28,15,5,4,3,3,3,2
84,40,16,8,7,4,2,0,0,4
37,17,9,4,3,0,0,0,0,1
227,131,84,60,49,43,40,37,34,1
219,136,87,64,42,26,23,20,16,1
113,69,48,33,27,20,11,7,6,4
115,39,23,19,17,13,9,6,4,0
193,111,71,56,44,35,30,26,22,1
88,26,19,13,9,9,8,8,8,3
185,105,70,30,14,6,3,2,2,2
67,19,5,5,5,4,3,2,2,2
60,28,18,10,2,2,2,2,2,2
63,23,9,5,3,3,3,2,2,4
151,88,58,44,27,19,14,12,12,3
135,81,43,31,23,20,15,15,14,1
84,17,11,6,1,0,0,0,0,0
125,79,58,39,27,22,17,15,13,3
151,95,70,52,35,28,19,15,10,4
65,15,11,8,4,3,3,3,2,1
129,61,34,21,13,6,2,2,2,4
228,150,93,67,59,44,37,30,27,3
65,25,13,6,3,2,2,2,2,1
129,65,34,28,17,13,12,10,8,1
196,123,98,88,81,71,64,58,53,0
123,45,33,30,28,26,21,21,20,3
50,27,23,14,7,0,0,0,0,0
93,48,41,33,26,19,17,14,14,0
70,27,12,6,5,4,3,3,3,1
167,102,69,44,34,26,16,10,6,0
125,51,37,28,24,16,7,5,4,3
234,164,108,87,64,50,40,31,24,3
279,234,172,127,94,67,46,31,22,4
117,54,34,22,15,14,11,8,8,1
84,27,6,5,5,5,3,3,3,1
72,19,8,7,6,5,5,4,4,2
205,122,79,65,52,43,32,22,19,1
195,147,115,83,69,52,40,32,26,3
54,27,8,2,0,0,0,0,0,1
90,66,49,33,31,25,22,18,16,1
210,115,83,66,52,45,39,37,31,3
131,90,63,40,29,25,22,19,15,1
178,118,87,73,66,56,52,47,45,1
222,151,110,80,66,58,49,45,41,3
81,15,9,5,4,3,3,3,3,0
200,143,109,90,69,62,49,34,26,0
256,182,141,111,87,74,62,51,42,4
141,63,37,27,23,21,17,13,12,1
243,159,117,84,60,45,35,28,20,3
