18.4,81,18.8,19.2,0.0163247,22323.6
18.4,80,18.8,19.2,0.0172117,22961.6
18.5,80,18.9,19.4,0.018311,23689.2
18.6,80,19.1,19.6,0.0175948,24523.2
18.7,79,19.1,19.6,0.0173987,25143.3
18.8,79,19.2,19.8,0.0183778,25769.2
18.8,79,19.3,19.9,0.0182455,26403.6
18.9,78,19.3,19.9,0.0188265,27105.4
19,78,19.4,20.1,0.0210186,27962.6
19.1,78,19.5,20.2,0.0212559,28549
19.1,77,19.4,20.2,0.0226622,29166
19.2,77,19.6,20.4,0.0230955,29888.3
19.2,77,19.6,20.4,0.023758,30730
19.2,77,19.7,20.6,0.0247578,31498.9
19.3,77,19.7,20.7,0.0253352,31930.8
19.3,77,19.8,20.7,0.0266771,32237
19.3,77,19.8,20.7,0.0281614,32538.5
19.4,76,19.8,20.8,0.0296963,33085.3
19.4,75,19.8,20.8,0.0298414,33555
19.5,75,19.9,20.9,0.0305688,34228.4
19.6,75,19.9,21.1,0.0316696,34925.9
19.6,75,20.1,21.2,0.0323516,35018.2
19.7,75,20.1,21.3,0.0339349,35594.9
19.7,75,20.2,21.4,0.0354704,36079.3
19.8,75,20.2,21.4,0.0367836,34849
19.8,75,20.3,21.4,0.0381367,34571.1
19.9,74,20.3,21.6,0.0387851,35608
19.9,74,20.3,21.6,0.0391937,35959.4
19.9,74,20.4,21.7,0.0402803,36824.8
19.9,73,20.4,21.8,0.0424328,37580.3
19.9,73,20.4,21.8,0.0425621,38322.4
20,73,20.4,21.9,0.0443723,38945.5
20,72,20.4,21.8,0.0445484,39072.2
20,71,20.4,21.8,0.0457588,39776.4
19.9,71,20.3,21.8,0.0487266,40205.8
19.9,72,20.3,21.9,0.0500045,41170.4
19.9,72,20.3,21.9,0.0527572,42070.6
19.8,72,20.2,21.8,0.0525377,42323.9
19.8,72,20.2,21.9,0.0536767,43076.4
19.8,72,20.2,21.9,0.0568661,43970.5
19.8,72,20.2,22,0.0580445,45156.1
19.8,72,20.2,22.1,0.0621038,46682.7
19.9,72,20.3,22.2,0.0621329,47294.4
19.9,72,20.3,22.3,0.0643229,47482.5
20,72,20.4,22.3,0.0655752,47419.9
20.1,72,20.4,22.4,0.0657541,47631.9
20.1,71,20.4,22.4,0.0649858,47642.8
20.1,71,20.4,22.4,0.0654256,47620.3
20.2,70,20.4,22.5,0.0692932,48595.5
20.2,71,20.6,22.6,0.0716217,48477.1
20.3,70,20.6,22.7,0.0721363,49738.4
20.3,70,20.6,22.8,0.075566,51269.5
20.4,70,20.7,22.9,0.0774728,52125.5
20.4,70,20.7,22.9,0.0811237,52473.2
20.5,69,20.7,23,0.082404,52865
20.6,69,20.7,26.1,0.0870335,53490
20.6,69,20.8,26.2,0.0883102,54030.3
20.7,69,20.8,26.3,0.091106,54235.9
20.7,69,20.8,26.3,0.0945124,54856.1
20.8,68,20.8,26.4,0.0958545,55603
20.8,68,20.9,26.4,0.101826,56127.9
20.9,68,20.9,26.5,0.102568,56940.9
20.9,67,20.9,26.6,0.109549,57972.1
20.8,68,20.9,26.6,0.110515,58199.1
20.7,67,20.7,26.4,0.111348,58902.6
20.6,68,20.7,26.6,0.115706,59436.5
20.6,68,20.7,26.4,0.119527,59377.2
20.5,68,20.6,26.4,0.123338,59955.1
20.4,68,20.6,26.4,0.130855,60890.7
20.3,68,20.5,26.4,0.127383,61066.3
20.3,69,20.5,26.4,0.127529,61003.6
20.2,69,20.4,26.4,0.128344,61255.5
20.2,69,20.4,26.4,0.12862,61588.4
20.1,69,20.4,26.4,0.134167,62049
20.1,70,20.4,26.4,0.135529,62518.3
20.1,69,20.4,26.5,0.139011,63595.9
20.1,69,20.4,26.6,0.14638,64052.6
20.2,69,20.4,26.6,0.149686,64692.8
20.2,69,20.4,26.7,0.152159,64884.1
20.2,69,20.4,26.7,0.155744,65937.9
20.2,69,20.4,26.7,0.159647,66149.2
20.3,69,20.5,26.8,0.166713,67228.6
20.3,69,20.5,26.9,0.168518,67762.5
20.2,69,20.4,26.9,0.171004,67935
20.1,69,20.4,26.9,0.176598,68211.9
20.1,69,19.9,26.1,0.179911,68052.1
20,70,20.3,26.8,0.182098,68629.2
20,70,20.3,26.9,0.189225,69173
19.9,70,20.3,26.9,0.189925,68655.8
19.9,70,20.3,26.8,0.194609,69063.8
20,71,20.4,27,0.195891,68993.9
20,70,20.3,26.9,0.201461,69185.8
20,70,20.3,26.9,0.202935,70000.8
