date,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,2,3,4,5,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_7,percent_8,percent_9,percent_10,percent_20,percent_30,percent_40,percent_50,hap,avg,grade,
2017-08-02,475,311,242,191,156,142,127,113,105,96,25,15,9,3,61.53,40.28,31.35,24.74,20.21,18.39,16.45,14.64,13.6,12.44,3.24,1.94,1.17,0.39,363.0032,0.4708212711,3,[3]
2017-08-22,615,519,434,372,315,284,259,241,231,216,65,39,23,11,79.66,67.23,56.22,48.19,40.8,36.79,33.55,31.22,29.92,27.98,8.42,5.05,2.98,1.42,763.0859,0.9897352789,4,[4]
2017-08-26,165,84,65,63,57,51,46,41,38,35,9,5,3,1,21.37,10.88,8.42,8.16,7.38,6.61,5.96,5.31,4.92,4.53,1.17,0.65,0.39,0.13,154.3119,0.2001451362,0,[1]
2017-08-30,268,162,117,91,72,54,47,39,36,35,7,3,0,0,34.72,20.98,15.16,11.79,9.33,6.99,6.09,5.05,4.66,4.53,0.91,0.39,0,0,164.68014,0.2135929183,1,[1]
2017-08-31,329,195,148,110,93,81,74,68,66,61,20,15,8,6,42.62,25.26,19.17,14.25,12.05,10.49,9.59,8.81,8.55,7.9,2.59,1.94,1.04,0.78,283.1535,0.3672548638,2,[2]
2017-09-01,146,41,9,7,7,6,6,5,5,4,2,2,1,1,18.91,5.31,1.17,0.91,0.91,0.78,0.78,0.65,0.65,0.52,0.26,0.26,0.13,0.13,69.42788,0.090049131,0,[0]
2017-09-08,462,305,226,177,152,130,115,108,99,95,24,10,4,0,59.84,39.51,29.27,22.93,19.69,16.84,14.9,13.99,12.82,12.31,3.11,1.3,0.52,0,331.0878,0.4294264591,3,[3]
2017-09-09,485,323,238,180,138,106,84,66,49,39,5,2,0,0,62.82,41.84,30.83,23.32,17.88,13.73,10.88,8.55,6.35,5.05,0.65,0.26,0,0,225.1362,0.2920054475,2,[2]
2017-09-10,146,72,43,38,34,26,21,17,16,15,4,2,0,0,18.91,9.33,5.57,4.92,4.4,3.37,2.72,2.2,2.07,1.94,0.52,0.26,0,0,81.1519,0.1052553826,0,[0]
2017-09-12,423,259,204,179,161,149,135,125,115,107,32,23,15,6,54.79,33.55,26.42,23.19,20.85,19.3,17.49,16.19,14.9,13.86,4.15,2.98,1.94,0.78,424.56776,0.5506715435,4,[4]
2017-09-13,260,104,81,63,50,42,37,32,27,25,5,4,3,3,33.68,13.47,10.49,8.16,6.48,5.44,4.79,4.15,3.5,3.24,0.65,0.52,0.39,0.39,145.97686,0.1893344488,1,[1]
2017-09-14,203,50,32,26,20,9,7,7,7,6,1,1,0,0,26.3,6.48,4.15,3.37,2.59,1.17,0.91,0.91,0.91,0.78,0.13,0.13,0,0,79.76436,0.1034557198,1,[0]
2017-09-18,435,259,228,197,165,142,127,118,109,101,33,25,21,14,56.35,33.55,29.53,25.52,21.37,18.39,16.45,15.28,14.12,13.08,4.27,3.24,2.72,1.81,459.511,0.5959935149,4,[4]
2017-09-21,239,66,40,31,23,19,15,15,14,14,6,3,3,3,30.96,8.55,5.18,4.02,2.98,2.46,1.94,1.94,1.81,1.81,0.78,0.39,0.39,0.39,125.46108,0.1627251362,1,[1]
2017-09-22,441,304,218,178,149,134,119,102,93,81,24,21,16,11,57.12,39.38,28.24,23.06,19.3,17.36,15.41,13.21,12.05,10.49,3.11,2.72,2.07,1.42,418.92086,0.5433474189,4,[4]
2017-09-24,522,360,263,197,147,122,95,79,64,50,2,0,0,0,67.62,46.63,34.07,25.52,19.04,15.8,12.31,10.23,8.29,6.48,0.26,0,0,0,250.0642,0.3243374838,2,[2]
2017-09-28,224,138,103,80,63,52,39,38,34,31,7,6,5,4,29.02,17.88,13.34,10.36,8.16,6.74,5.05,4.92,4.4,4.02,0.91,0.78,0.65,0.52,164.54064,0.2134119844,1,[1]
2017-10-08,475,338,276,242,212,178,164,147,130,125,42,27,17,13,61.53,43.78,35.75,31.35,27.46,23.06,21.24,19.04,16.84,16.19,5.44,3.5,2.2,1.68,567.4379,0.735976524,4,[4]
2017-10-09,496,378,317,280,256,236,214,197,183,170,55,46,28,19,64.25,48.96,41.06,36.27,33.16,30.57,27.72,25.52,23.7,22.02,7.12,5.96,3.63,2.46,697.4786,0.9046415045,4,[4]
2017-10-14,468,349,287,245,196,178,151,135,124,114,24,15,10,8,60.62,45.21,37.18,31.74,25.39,23.06,19.56,17.49,16.06,14.77,3.11,1.94,1.3,1.04,1132.23606,1.4685292607,4,[4]
2017-10-19,613,476,400,355,295,258,220,192,174,161,45,28,17,11,79.4,61.66,51.81,45.98,38.21,33.42,28.5,24.87,22.54,20.85,5.83,3.63,2.2,1.42,4707.26214,6.1053983658,4,[4]
2017-10-21,253,103,73,56,49,44,36,34,28,25,14,12,9,8,32.77,13.34,9.46,7.25,6.35,5.7,4.66,4.4,3.63,3.24,1.81,1.55,1.17,1.04,937.47764,1.2159243061,2,[2]
2017-10-24,421,306,236,197,158,135,115,105,98,87,21,13,10,9,54.53,39.64,30.57,25.52,20.47,17.49,14.9,13.6,12.69,11.27,2.72,1.68,1.3,1.17,5235.97718,6.7911506874,4,[4]
2017-10-30,257,121,97,69,56,50,43,42,41,39,16,9,8,7,33.29,15.67,12.56,8.94,7.25,6.48,5.57,5.44,5.31,5.05,2.07,1.17,1.04,0.91,458.16344,0.5942457069,2,[2]
2017-10-31,356,175,124,100,86,75,65,60,58,53,18,17,12,11,46.11,22.67,16.06,12.95,11.14,9.72,8.42,7.77,7.51,6.87,2.33,2.2,1.55,1.42,597.111266,0.77446338,3,[2]
