38,30,21,7,3,2,2,1,0,0,0,40,27,10,5,5,5,4,2,2,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,1,0,0,0,0,0,0,0,0,5,3,3,1,1,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0
10,6,4,3,2,2,2,0,0,0,0,12,8,6,6,4,4,4,3,2,2,0,0,0,0
28,23,14,10,7,5,5,4,4,3,3,32,23,22,19,15,14,11,10,9,7,2,1,0,0
1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,6,3,2,2,1,0,0,0,0,18,8,6,6,6,6,6,4,3,2,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
38,26,12,6,4,0,0,0,0,0,0,39,27,16,6,2,0,0,0,0,0,0,0,0,0
33,30,17,13,4,2,2,1,0,0,0,41,29,16,4,3,2,2,2,2,2,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,4,2,2,2,2,1,1,1,1,11,6,5,4,4,3,2,2,2,2,0,0,0,0
4,2,0,0,0,0,0,0,0,0,0,5,2,2,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,2,1,1,0,0,0,0,0,0,22,4,2,2,2,2,1,1,1,1,0,0,0,0
58,58,48,42,37,32,27,24,20,20,15,48,39,33,24,21,16,13,9,5,4,0,0,0,0
44,42,38,24,15,10,9,7,5,4,4,45,41,38,29,28,21,17,13,10,9,3,1,1,1
0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,1,0,0,0,0,0,0,0,0,13,4,1,1,1,1,0,0,0,0,0,0,0,0
33,22,5,2,1,0,0,0,0,0,0,37,29,19,13,7,5,4,2,1,1,0,0,0,0
32,22,14,8,6,4,0,0,0,0,0,38,29,21,18,14,12,10,8,7,6,0,0,0,0
22,9,1,0,0,0,0,0,0,0,0,30,12,9,3,1,0,0,0,0,0,0,0,0,0
51,44,32,18,11,4,1,0,0,0,0,51,47,44,38,35,29,26,20,18,15,0,0,0,0
29,20,10,6,4,4,3,1,0,0,0,34,20,15,13,11,7,5,5,5,5,1,0,0,0
54,49,43,37,33,31,30,28,28,26,26,41,33,28,24,15,9,4,4,4,4,1,0,0,0
43,40,28,4,0,0,0,0,0,0,0,43,31,15,4,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,1,0,0,0,0,0,0,0,0,12,5,2,1,0,0,0,0,0,0,0,0,0,0
27,13,7,6,3,3,3,3,3,3,3,34,16,10,7,6,6,6,6,5,4,2,2,2,2
34,25,17,14,13,11,11,11,11,11,11,39,31,23,18,16,14,14,14,14,13,5,5,4,1
26,18,14,13,10,9,9,7,6,6,6,31,18,16,15,15,14,13,13,12,11,4,4,1,0
5,5,4,4,3,2,2,1,1,1,1,11,5,5,5,5,4,4,4,4,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,14,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
57,56,46,34,14,12,11,11,11,10,10,42,32,21,12,11,10,7,4,2,2,2,1,0,0
34,26,13,8,6,2,2,2,2,2,2,47,13,7,3,3,2,2,2,2,2,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,19,3,1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,8,3,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,0,0,0,0,0,0,0,0,0,16,10,5,1,0,0,0,0,0,0,0,0,0,0
