38,30,21,7,3,2,0
34,30,17,13,4,2,0
44,42,38,24,15,10,0
44,40,28,4,0,0,0
39,27,13,8,6,2,0
71,33,9,3,0,0,0
57,45,22,7,1,0,1
77,66,51,32,20,15,1
35,33,25,19,15,13,0
37,30,21,10,1,0,0
35,26,12,6,3,3,0
101,70,49,34,22,15,2
31,26,21,17,2,2,0
60,43,27,18,16,10,0
30,19,9,3,2,2,0
41,23,14,5,2,2,0
134,102,74,60,49,39,3
114,77,29,17,14,10,2
98,71,39,23,15,7,3
53,40,19,7,2,0,0
78,39,20,9,3,1,0
128,90,44,21,9,5,2
113,80,61,46,32,23,0
130,84,34,16,14,12,2
120,74,17,6,0,0,1
58,40,12,4,1,1,0
101,66,29,18,14,11,3
31,17,10,3,2,2,1
129,105,69,51,38,30,2
88,65,46,38,34,27,4
146,118,85,62,52,45,4
39,8,2,2,2,2,0
82,65,43,27,16,14,1
49,37,5,0,0,0,0
31,6,3,2,2,2,0
95,51,20,7,4,2,3
140,94,45,25,12,10,1
62,24,15,12,11,9,0
94,60,25,19,13,9,3
84,63,36,27,19,13,0
24,11,8,6,2,2,0
23,3,2,2,2,2,3
32,8,3,3,3,2,0
52,31,14,8,6,5,3
143,119,68,42,24,8,2
64,54,40,31,27,23,0
112,95,78,62,43,35,3
73,51,34,27,23,18,3
101,68,44,35,28,24,2
114,80,58,36,27,23,3
24,15,10,4,3,1,0
118,89,64,44,32,22,0
40,4,2,2,2,2,0
23,6,2,2,2,2,0
31,22,6,2,2,2,0
65,23,11,4,2,2,2
100,80,69,58,43,39,3
28,13,7,3,2,2,0
42,10,3,3,3,3,1
36,3,3,3,3,2,1
122,88,55,44,34,26,2
50,24,8,6,5,5,1
93,71,55,31,20,11,3
28,17,4,4,3,3,1
122,82,52,41,34,28,2
107,79,53,36,26,22,1
41,26,11,4,3,2,0
125,102,57,36,22,14,2
109,76,55,34,20,16,1
82,53,32,21,11,3,3
34,23,16,11,8,5,0
112,66,27,19,14,11,2
84,39,13,3,0,0,3
120,86,37,21,13,6,1
117,67,30,19,14,5,0
44,33,19,10,0,0,0
38,25,14,8,6,4,0
121,74,49,35,25,17,3
117,82,33,18,12,10,2
83,42,18,11,9,7,0
34,23,14,11,9,7,0
109,70,41,22,16,11,0
35,20,11,7,3,1,0
105,74,38,24,20,17,0
31,28,15,7,2,2,0
31,27,19,14,8,1,0
32,28,13,7,2,2,0
64,50,17,14,7,2,1
110,70,39,29,16,16,0
52,23,12,10,8,5,0
33,24,12,8,4,2,2
104,75,41,26,14,9,0
33,28,15,12,8,2,0
57,35,18,11,9,7,0
112,73,43,33,27,22,2
48,28,10,6,3,0,0
88,50,29,21,16,15,0
85,56,23,20,11,6,4
34,8,4,2,2,2,0
31,29,19,10,6,0,0
54,44,31,16,10,9,0
28,25,19,10,8,4,0
120,77,40,23,17,12,1
33,25,15,10,6,1,0
148,106,66,42,23,22,2
159,133,83,54,39,23,3
58,43,28,11,4,4,0
30,27,17,3,3,2,0
29,27,16,9,4,3,0
104,75,43,26,15,6,1
146,121,71,41,31,20,0
42,28,14,7,0,0,0
96,80,57,45,33,28,1
76,37,18,8,4,3,3
97,61,28,19,14,8,0
116,82,58,49,39,37,2
83,53,24,16,10,6,3
39,22,14,7,3,3,0
145,109,63,36,21,20,1
129,85,49,33,26,17,3
117,65,28,6,3,3,0
127,92,54,34,16,13,2
