55,15,10,5,0,0,0,0,0,0
41,18,13,7,3,2,2,2,1,2
110,69,49,35,22,17,8,6,2,0
64,15,11,8,4,3,3,3,2,0
68,37,22,14,9,5,2,2,2,0
131,89,62,46,39,26,21,16,13,2
61,23,11,4,1,0,0,0,0,0
71,31,13,10,6,3,3,2,2,0
78,27,16,12,10,7,7,7,6,4
71,13,7,6,6,6,2,2,2,0
50,27,23,14,7,0,0,0,0,0
71,44,37,29,23,17,15,12,12,0
68,27,12,6,5,4,3,3,3,0
126,85,61,39,31,24,15,10,6,1
71,23,17,13,12,7,4,3,2,0
147,110,67,54,35,22,14,9,5,2
158,139,106,80,60,40,27,16,12,3
83,42,28,17,10,9,8,5,5,0
68,23,6,5,5,5,3,3,3,0
72,19,8,7,6,5,5,4,4,0
123,90,68,59,48,39,29,22,19,1
140,106,81,54,43,30,20,14,9,0
51,27,8,2,0,0,0,0,0,0
90,66,49,33,31,25,22,18,16,1
85,20,10,4,1,0,0,0,0,3
104,75,49,27,18,15,12,10,7,0
112,82,61,53,47,43,41,36,34,2
104,67,42,25,19,17,15,15,13,3
81,15,9,5,4,3,3,3,3,0
154,124,100,85,67,61,49,34,26,1
130,78,60,42,36,27,21,19,16,3
120,50,28,18,15,13,9,6,6,0
139,102,77,62,48,38,32,25,18,2
88,34,17,6,2,0,0,0,0,4
59,21,5,3,3,3,3,2,2,1
218,124,88,66,52,41,38,35,33,4
220,143,96,75,55,41,31,24,20,4
98,38,16,12,10,6,3,0,0,1
235,169,132,114,103,93,84,79,74,3
132,72,55,41,29,25,23,21,17,1
73,13,9,7,7,6,4,4,4,1
122,59,54,45,41,36,34,33,32,4
119,33,17,16,13,12,11,11,11,1
164,100,70,55,46,39,35,28,25,4
271,213,162,119,87,71,52,42,28,4
82,58,46,41,34,32,27,26,23,1
227,166,141,126,113,95,89,80,72,4
217,172,147,135,127,120,107,98,89,4
222,152,119,100,81,74,63,53,48,4
273,197,160,139,113,102,92,83,74,4
73,15,10,7,6,5,3,2,2,1
183,139,108,95,79,68,58,54,50,3
71,5,3,3,3,3,3,2,2,1
113,29,8,5,4,3,3,2,2,1
59,24,13,2,2,2,2,2,2,1
185,93,62,39,28,20,18,10,9,4
243,166,134,115,103,92,82,73,68,4
69,6,4,3,3,3,3,3,3,1
90,17,5,3,3,3,3,3,3,1
78,6,3,3,3,3,3,3,3,1
205,142,91,67,45,34,25,20,13,3
130,40,28,19,14,9,9,7,5,4
233,150,107,75,62,48,39,31,29,4
117,19,7,5,5,4,4,4,4,1
220,154,116,95,76,66,58,51,46,3
181,118,89,76,66,54,48,36,28,3
53,9,5,5,5,5,4,4,4,2
229,145,97,67,45,29,20,16,12,3
143,93,68,51,34,26,22,16,12,1
195,135,97,71,58,50,41,35,30,1
67,29,22,13,8,8,7,6,6,4
239,146,95,66,44,27,20,17,12,4
210,128,85,69,57,51,48,42,41,1
194,128,83,50,38,26,18,15,10,4
144,75,28,15,5,4,3,3,3,3
84,40,16,8,7,4,2,0,0,4
37,17,9,4,3,0,0,0,0,1
227,131,84,60,49,43,40,37,34,2
219,136,87,64,42,26,23,20,16,1
113,69,48,33,27,20,11,7,6,4
115,39,23,19,17,13,9,6,4,1
193,111,71,56,44,35,30,26,22,2
88,26,19,13,9,9,8,8,8,4
185,105,70,30,14,6,3,2,2,3
67,19,5,5,5,4,3,2,2,3
60,28,18,10,2,2,2,2,2,3
63,23,9,5,3,3,3,2,2,4
151,88,58,44,27,19,14,12,12,4
135,81,43,31,23,20,15,15,14,2
84,17,11,6,1,0,0,0,0,1
125,79,58,39,27,22,17,15,13,4
151,95,70,52,35,28,19,15,10,4
65,15,11,8,4,3,3,3,2,2
129,61,34,21,13,6,2,2,2,4
228,150,93,67,59,44,37,30,27,4
65,25,13,6,3,2,2,2,2,1
129,65,34,28,17,13,12,10,8,3
196,123,98,88,81,71,64,58,53,1
123,45,33,30,28,26,21,21,20,4
50,27,23,14,7,0,0,0,0,2
93,48,41,33,26,19,17,14,14,1
70,27,12,6,5,4,3,3,3,1
167,102,69,44,34,26,16,10,6,2
125,51,37,28,24,16,7,5,4,4
234,164,108,87,64,50,40,31,24,4
279,234,172,127,94,67,46,31,22,4
117,54,34,22,15,14,11,8,8,1
84,27,6,5,5,5,3,3,3,1
72,19,8,7,6,5,5,4,4,3
205,122,79,65,52,43,32,22,19,1
195,147,115,83,69,52,40,32,26,4
54,27,8,2,0,0,0,0,0,1
90,66,49,33,31,25,22,18,16,1
210,115,83,66,52,45,39,37,31,4
131,90,63,40,29,25,22,19,15,1
178,118,87,73,66,56,52,47,45,1
222,151,110,80,66,58,49,45,41,4
81,15,9,5,4,3,3,3,3,1
200,143,109,90,69,62,49,34,26,1
256,182,141,111,87,74,62,51,42,4
141,63,37,27,23,21,17,13,12,1
243,159,117,84,60,45,35,28,20,4
