96,69,41,27,20,14,12,8,7,4,3,126,73,57,43,32,28,24,17,14,11,2,1,0,0,3
33,23,9,5,4,3,2,1,1,1,1,60,23,15,11,8,7,5,5,4,4,0,0,0,0,1
194,129,66,35,22,12,4,1,0,0,0,221,153,116,92,74,56,45,35,31,27,1,0,0,0,4
88,65,43,37,30,26,26,23,22,22,22,148,70,53,45,43,38,37,37,34,31,12,11,6,2,3
85,54,36,22,11,6,3,3,2,0,0,108,72,52,41,34,29,24,19,18,14,2,0,0,0,1
19,10,0,0,0,0,0,0,0,0,0,46,11,3,1,0,0,0,0,0,0,0,0,0,0,1
119,44,10,1,0,0,0,0,0,0,0,174,72,37,23,13,9,1,1,1,0,0,0,0,0,2
124,57,44,37,36,33,30,27,25,25,24,170,75,53,44,43,40,38,36,36,36,12,11,10,9,3
39,3,0,0,0,0,0,0,0,0,0,118,7,1,0,0,0,0,0,0,0,0,0,0,0,1
134,83,46,28,15,11,8,3,2,1,1,162,103,72,62,47,40,32,27,22,15,0,0,0,0,4
97,39,9,1,0,0,0,0,0,0,0,133,62,36,23,12,8,4,2,1,0,0,0,0,0,1
136,61,25,16,11,9,7,6,2,2,2,153,80,48,34,26,22,17,16,13,11,2,1,1,1,3
105,70,56,46,42,38,32,31,26,22,21,155,83,65,56,56,53,47,45,44,42,11,5,0,0,3
191,111,36,14,5,4,2,2,2,1,1,236,147,103,69,47,33,26,20,16,10,1,1,0,0,4
34,18,10,5,4,4,3,2,2,2,2,75,23,17,15,10,9,8,7,5,5,1,1,1,1,1
119,58,8,4,1,1,0,0,0,0,0,171,82,53,32,17,8,7,5,4,2,0,0,0,0,3
78,36,13,7,5,2,1,0,0,0,0,110,59,35,25,15,10,7,7,7,6,0,0,0,0,1
169,90,40,26,15,9,6,5,4,3,2,227,121,90,65,54,46,36,32,25,22,2,1,0,0,4
20,3,3,2,2,2,2,2,1,1,1,65,7,3,3,3,3,3,2,2,2,2,1,0,0,1
62,27,7,1,1,0,0,0,0,0,0,92,41,25,15,8,7,4,3,2,1,0,0,0,0,1
124,76,38,20,11,5,1,1,1,1,0,146,97,71,51,41,32,26,22,17,12,1,0,0,0,3
131,83,35,18,9,2,0,0,0,0,0,158,98,69,53,36,28,20,15,13,9,0,0,0,0,3
211,137,82,60,52,51,44,37,32,29,25,233,159,120,99,80,71,67,61,56,54,14,12,8,4,4
39,7,1,0,0,0,0,0,0,0,0,79,15,5,2,1,0,0,0,0,0,0,0,0,0,1
222,137,91,75,66,58,51,41,38,32,26,252,172,124,103,89,84,81,74,71,66,20,8,0,0,4
194,135,93,72,68,64,58,54,49,46,38,230,151,125,107,93,87,80,71,70,68,23,16,11,2,4
238,153,87,64,55,51,45,37,28,27,22,271,191,140,104,94,79,72,67,61,56,16,8,3,0,4
232,174,128,97,86,76,69,64,55,47,37,255,194,168,143,127,115,109,103,94,90,26,16,5,2,4
84,54,29,23,20,17,11,4,4,4,3,101,68,48,39,31,28,26,23,23,20,3,1,0,0,1
209,129,73,55,41,34,25,23,22,20,18,250,151,116,96,77,71,62,51,47,40,12,7,4,0,4
291,233,148,117,100,86,73,67,60,56,54,305,254,209,173,142,131,120,111,107,98,30,22,15,8,4
72,63,48,36,30,25,19,16,14,10,10,92,65,63,61,55,49,44,39,36,33,9,5,3,1,3
136,77,47,34,25,20,16,11,8,7,6,167,98,71,59,52,46,40,34,33,32,6,3,0,0,4
