date,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,2,3,4,5,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_7,percent_8,percent_9,percent_10,percent_20,percent_30,percent_40,percent_50,hap(y2-y1),hap(raw),avg,grade
2017-07-20,513,364,268,204,178,151,137,126,117,110,24,8,3,0,66.45,47.15,34.72,26.42,23.06,19.56,17.75,16.32,15.16,14.25,3.11,1.04,0.39,0.0,369.54109999999963,17351.564500000004,0.4793010376134885,4
2017-07-26,373,243,204,175,156,143,136,129,119,113,35,23,11,6,48.32,31.48,26.42,22.67,20.21,18.52,17.62,16.71,15.41,14.64,4.53,2.98,1.42,0.78,416.9808000000003,16720.32130000001,0.5408311284046696,4
2017-07-27,307,219,171,131,108,96,80,66,56,49,4,1,0,0,39.77,28.37,22.15,16.97,13.99,12.44,10.36,8.55,7.25,6.35,0.52,0.13,0.0,0.0,183.94540000000012,18511.39390000002,0.23858028534370962,2
2017-08-02,475,311,242,191,156,142,127,113,105,96,25,15,9,3,61.53,40.28,31.35,24.74,20.21,18.39,16.45,14.64,13.6,12.44,3.24,1.94,1.17,0.39,363.00319999999994,17874.329099999988,0.4708212710765239,4
2017-08-22,615,519,434,372,315,284,259,241,231,216,65,39,23,11,79.66,67.23,56.22,48.19,40.8,36.79,33.55,31.22,29.92,27.98,8.42,5.05,2.98,1.42,763.085900000001,17832.05739999999,0.9897352788586264,4
2017-08-26,165,84,65,63,57,51,46,41,38,35,9,5,3,1,21.37,10.88,8.42,8.16,7.38,6.61,5.96,5.31,4.92,4.53,1.17,0.65,0.39,0.13,154.31189999999998,16101.912900000014,0.2001451361867704,0
2017-08-30,268,162,117,91,72,54,47,39,36,35,7,3,0,0,34.72,20.98,15.16,11.79,9.33,6.99,6.09,5.05,4.66,4.53,0.91,0.39,0.0,0.0,164.68014,18341.15924,0.21359291828793775,2
2017-08-31,329,195,148,110,93,81,74,68,66,61,20,15,8,6,42.62,25.26,19.17,14.25,12.05,10.49,9.59,8.81,8.55,7.9,2.59,1.94,1.04,0.78,283.1535000000002,16173.72160000001,0.3672548638132298,2
2017-09-01,146,41,9,7,7,6,6,5,5,4,2,2,1,1,18.91,5.31,1.17,0.91,0.91,0.78,0.78,0.65,0.65,0.52,0.26,0.26,0.13,0.13,69.42787999999996,16089.979899999995,0.09004913099870293,0
2017-09-08,462,305,226,177,152,130,115,108,99,95,24,10,4,0,59.84,39.51,29.27,22.93,19.69,16.84,14.9,13.99,12.82,12.31,3.11,1.3,0.52,0.0,331.0878000000002,16892.45939999998,0.4294264591439691,4
2017-09-09,485,323,238,180,138,106,84,66,49,39,5,2,0,0,62.82,41.84,30.83,23.32,17.88,13.73,10.88,8.55,6.35,5.05,0.65,0.26,0.0,0.0,225.13620000000014,17060.047899999998,0.2920054474708173,3
2017-09-10,146,72,43,38,34,26,21,17,16,15,4,2,0,0,18.91,9.33,5.57,4.92,4.4,3.37,2.72,2.2,2.07,1.94,0.52,0.26,0.0,0.0,81.15190000000013,18976.76309999999,0.10525538261997422,1
2017-09-12,423,259,204,179,161,149,135,125,115,107,32,23,15,6,54.79,33.55,26.42,23.19,20.85,19.3,17.49,16.19,14.9,13.86,4.15,2.98,1.94,0.78,424.5677599999996,16006.266289999994,0.5506715434500644,3
2017-09-13,260,104,81,63,50,42,37,32,27,25,5,4,3,3,33.68,13.47,10.49,8.16,6.48,5.44,4.79,4.15,3.5,3.24,0.65,0.52,0.39,0.39,145.97685999999993,16117.034319999999,0.1893344487678339,1
2017-09-14,203,50,32,26,20,9,7,7,7,6,1,1,0,0,26.3,6.48,4.15,3.37,2.59,1.17,0.91,0.91,0.91,0.78,0.13,0.13,0.0,0.0,79.76436000000004,15135.759880000009,0.10345571984435803,2
2017-09-18,435,259,228,197,165,142,127,118,109,101,33,25,21,14,56.35,33.55,29.53,25.52,21.37,18.39,16.45,15.28,14.12,13.08,4.27,3.24,2.72,1.81,459.5110000000003,15819.019149999982,0.5959935149156943,3
2017-09-21,239,66,40,31,23,19,15,15,14,14,6,3,3,3,30.96,8.55,5.18,4.02,2.98,2.46,1.94,1.94,1.81,1.81,0.78,0.39,0.39,0.39,125.46107999999988,15398.568649999996,0.1627251361867703,2
2017-09-22,441,304,218,178,149,134,119,102,93,81,24,21,16,11,57.12,39.38,28.24,23.06,19.3,17.36,15.41,13.21,12.05,10.49,3.11,2.72,2.07,1.42,418.92086,15578.37581,0.5433474189364462,3
2017-09-24,522,360,263,197,147,122,95,79,64,50,2,0,0,0,67.62,46.63,34.07,25.52,19.04,15.8,12.31,10.23,8.29,6.48,0.26,0.0,0.0,0.0,250.06420000000008,19586.408700000015,0.3243374837872893,3
