8028.31,4112.11,4771.22,5138.01,5309.19,5465.35,5586.52,5541.77,5503.75,5364.52,5225.54,4991.98,4581.18,4321.18,23.1801,12.8535,17.5889,20.2183,21.4505,22.4728,23.1707,22.9785,22.7388,21.9386,21.0043,19.4839,16.7462,14.5694
6776.05,4342.2,4957.22,5332.95,5531.7,5641.36,5665.63,5682.89,5681.06,5634.12,5506.72,5323.84,4902.87,4278.69,21.325,14.1063,18.7289,21.3474,22.6699,23.392,23.6102,23.7157,23.6793,23.35,22.5475,21.3182,18.4578,13.8444
7976.97,4400.29,4928.54,5228.67,5429.67,5553.17,5640.93,5594.33,5577.64,5469.64,5653.59,5246.97,5324.6,5418.05,26.1365,14.6939,18.6385,20.7994,22.1416,22.9502,23.4758,23.2572,23.1261,22.4763,23.3238,20.8844,21.1604,20.8795
7422.65,4387.72,4867.82,5225.15,5462.51,5638.62,5710.38,5551.15,5417.52,5389.22,5248.52,5167.56,4779.05,4071.5,24.3176,14.6916,18.2867,20.7342,22.286,23.3287,23.7541,22.9906,22.2244,21.986,21.0449,20.3555,17.6598,12.6199
6013.21,4486.3,5094.15,5446.52,5593.28,5649.75,5731.01,5707.68,5675.71,5614.21,5508.2,5332.09,5031.17,4700.36,20.0132,14.9697,19.5191,21.9378,22.9672,23.4038,23.8993,23.7999,23.624,23.2144,22.4918,21.3096,19.1389,16.6177
6096.51,4515.29,4756.13,5161.38,5395.13,5571.03,5591.04,5653.62,5544.29,5481.31,5400.55,5152.22,4728.09,4121.27,21.4873,16.0573,17.9445,20.5252,22.0156,23.0575,23.2367,23.5468,22.9793,22.5822,22.0036,20.4093,17.6096,13.4118
5221.28,4390.02,4933.67,5212.76,5468.04,5508.91,5574.97,5691.35,5619.59,5490.82,5425.1,5240.24,4901.72,4253.21,18.2539,14.9426,18.833,20.8021,22.4139,22.7298,23.1343,23.7664,23.3681,22.622,22.1632,20.9265,18.7044,14.147
6066.72,4886.9,5310.51,5556.23,5593.85,5765.3,5784.78,5791.53,5764.11,5663.46,5749.55,5517.93,5215.9,4681.05,22.4122,17.884,21.0185,22.719,23.1039,24.1224,24.2608,24.3144,24.1399,23.5221,23.8424,22.4205,20.3706,16.4239
4098.66,4649.63,5204.75,5436.64,5551.7,5618.76,5758.18,5772.97,5735.78,5700.76,5526.36,5279.12,4929.69,4424.53,12.7239,16.5315,20.3562,22.007,22.8311,23.308,24.0928,24.1779,23.9555,23.7071,22.6686,21.1161,18.7774,15.0331
4224.1,4306.44,4885.31,5221.0,5402.84,5542.05,5861.43,5757.32,6019.84,5653.22,5482.91,5323.53,5098.73,4549.05,13.2645,14.5124,18.4873,20.7364,21.9581,22.8348,24.5482,24.0616,25.4032,23.5117,22.5323,21.5053,19.981,16.2809
3916.9,4637.32,5146.14,5441.06,5575.15,5617.37,5665.42,5686.92,5644.29,5617.85,5492.97,5346.5,4989.6,4416.57,12.0034,16.7434,20.2651,22.2009,23.1045,23.417,23.7132,23.8145,23.567,23.3647,22.6164,21.6512,19.3436,15.3422
