date,illum,pm10,pm25,sky
2018-01-05,45.252959804883865,77.6,30.4,16.0
2018-01-06,61.00385866102833,92.0,29.272727272727273,17.272727272727273
2018-01-07,12.92078997994262,68.18181818181819,41.72727272727273,40.0
2018-01-19,47.472751111530556,105.45454545454545,39.27272727272727,13.636363636363635
2018-01-21,38.85295616639763,171.63636363636363,106.18181818181819,38.18181818181819
2018-01-27,58.909859762130125,77.63636363636364,33.90909090909091,30.0
2018-01-28,46.730303909908024,41.18181818181818,18.818181818181817,21.818181818181817
2018-02-02,58.102804798760154,111.63636363636364,38.0,19.090909090909093
2018-02-06,60.45403187995974,44.083333333333336,14.833333333333334,19.166666666666668
2018-02-08,49.57590230595281,94.5,39.916666666666664,17.5
2018-02-09,22.93577118798699,77.58333333333333,44.666666666666664,40.0
2018-02-15,21.586662503360092,47.0,12.916666666666666,26.666666666666664
2018-02-16,49.70248975275242,39.583333333333336,16.416666666666668,11.666666666666668
2018-02-17,68.78587322372881,49.25,3.8333333333333335,20.0
2018-02-20,31.868109125564665,110.91666666666667,49.5,35.833333333333336
2018-02-21,51.63538836451468,61.833333333333336,14.416666666666666,10.0
2018-02-24,45.699257971772234,112.91666666666667,48.916666666666664,30.833333333333336
2018-02-25,49.01072282058112,60.416666666666664,24.083333333333332,10.0
2018-02-26,69.02355328255055,78.0,27.833333333333332,10.0
2018-03-03,60.07354925297131,52.416666666666664,17.0,27.5
2018-03-07,29.279186174157417,21.307692307692307,7.153846153846154,40.0
2018-03-10,54.88052651419673,72.92307692307692,50.23076923076923,23.846153846153847
2018-03-24,38.45317663339128,107.53846153846153,72.53846153846153,29.23076923076923
2018-03-27,55.111821345314084,99.61538461538461,57.53846153846154,11.538461538461537
2018-03-31,60.889613553129074,89.23076923076923,45.07692307692308,20.0
2018-04-01,15.639620279767174,90.15384615384616,40.46153846153846,30.76923076923077
2018-04-07,68.24072593202348,78.3076923076923,17.923076923076923,17.692307692307693
2018-04-10,55.83541781006925,48.15384615384615,17.76923076923077,33.84615384615385
2018-04-12,79.41305617739262,59.642857142857146,13.857142857142858,25.714285714285715
2018-04-13,30.75436629229217,59.857142857142854,19.642857142857142,40.0
2018-04-16,62.98062277141241,70.66666666666667,33.53333333333333,31.333333333333332
2018-04-17,49.727290186440676,89.0,39.666666666666664,12.0
2018-04-18,70.88486329007534,82.2,39.13333333333333,13.333333333333332
2018-04-21,71.88774889672317,106.46666666666667,55.666666666666664,22.666666666666664
2018-04-26,52.745839077062506,83.8,40.93333333333333,20.0
2018-04-27,54.10471103880801,70.2,38.46666666666667,10.666666666666666
2018-04-28,72.96144833706218,97.4,57.8,11.333333333333332
2018-04-29,69.46218647374602,53.666666666666664,27.466666666666665,30.666666666666668
2018-04-30,48.84630580948156,104.73333333333333,58.0,28.0
2018-05-04,76.26591829437073,67.2,15.2,10.0
2018-05-05,58.75401047883003,42.2,15.6,37.333333333333336
2018-05-10,72.6013955975646,61.666666666666664,30.0,28.0
2018-05-14,51.943109503841626,65.8,43.2,26.666666666666664
2018-05-19,68.2864269384006,12.133333333333333,5.6,10.0
2018-05-25,61.97514794324512,100.6,28.666666666666668,29.333333333333332
2018-05-26,77.57370791407611,95.8,39.46666666666667,24.0
2018-05-27,26.83185465305085,89.26666666666667,46.13333333333333,30.0
2018-05-28,74.74575427653741,67.13333333333334,30.0,28.666666666666668
2018-05-29,34.83862831770327,70.4,37.333333333333336,40.0
2018-05-30,47.11868532041601,70.6,38.06666666666667,14.666666666666666
2018-05-31,74.31268023503902,63.86666666666667,32.4,10.0
2018-06-02,80.15118846732005,32.06666666666667,20.466666666666665,27.333333333333336
2018-06-03,71.14736063770816,28.466666666666665,20.0,17.333333333333336
2018-06-06,68.1996478725643,120.33333333333333,41.6,14.0
2018-06-07,49.35093330966164,119.8,61.46666666666667,12.666666666666666
2018-06-08,47.04313598328904,75.4,36.4,26.0
2018-06-09,50.57393054184408,70.73333333333333,34.46666666666667,39.33333333333333
2018-06-11,30.792307232809968,28.0,6.666666666666667,39.33333333333333
2018-06-13,41.12251299975652,41.266666666666666,20.733333333333334,40.0
