date,25,50,100,150,200,250,300,350,400,450,500,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_7,percent_8,percent_9,percent_10,percent_11,hap(y2-y1),hap(raw),avg,grade
2017-08-26,112,69,50,38,32,27,21,18,16,12,12,14.51,8.94,6.48,4.92,4.15,3.5,2.72,2.33,2.07,1.55,1.55,25865.30999999999,4087543.71,33.547743190661464,0
2017-08-30,229,148,92,63,43,36,30,23,18,16,15,29.66,19.17,11.92,8.16,5.57,4.66,3.89,2.98,2.33,2.07,1.94,40136.00000000003,4625529.620000001,52.05706874189368,3
2017-08-31,276,178,96,71,58,49,45,39,38,34,29,35.75,23.06,12.44,9.2,7.51,6.35,5.83,5.05,4.92,4.4,3.76,54347.23000000001,4105036.5800000024,70.48927367055774,4
2017-09-01,74,10,6,4,4,4,4,4,4,4,4,9.59,1.3,0.78,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,12149.229999999992,4107173.589999999,15.75775616083008,1
2017-09-08,415,273,154,110,92,70,61,53,44,36,30,53.76,35.36,19.95,14.25,11.92,9.07,7.9,6.87,5.7,4.66,3.89,65880.5,4301932.340000004,85.44811932555123,4
2017-09-09,426,283,142,88,45,31,22,11,9,7,7,55.18,36.66,18.39,11.4,5.83,4.02,2.85,1.42,1.17,0.91,0.91,48015.03999999989,4331815.260000001,62.276316472114,4
2017-09-10,146,78,52,42,38,34,33,29,27,23,22,18.91,10.1,6.74,5.44,4.92,4.4,4.27,3.76,3.5,2.98,2.85,99325.95999999998,4962247.29999999,128.82744487678337,2
2017-09-12,354,233,164,136,110,91,80,69,59,54,47,45.85,30.18,21.24,17.62,14.25,11.79,10.36,8.94,7.64,6.99,6.09,85869.13999999994,4112441.2099999986,111.37372243839162,4
2017-09-13,183,95,58,44,31,23,21,14,11,11,11,23.7,12.31,7.51,5.7,4.02,2.98,2.72,1.81,1.42,1.42,1.42,29772.21999999999,4141350.4099999997,38.615071335927354,1
2017-09-14,88,44,24,10,5,5,4,3,3,3,3,11.4,5.7,3.11,1.3,0.65,0.65,0.52,0.39,0.39,0.39,0.39,15454.899999999987,3949114.0400000005,20.045265888456534,0
2017-09-18,352,242,177,128,110,94,84,72,65,60,55,45.6,31.35,22.93,16.58,14.25,12.18,10.88,9.33,8.42,7.77,7.12,96025.76,4119445.36,124.5470298313878,4
2017-09-21,153,62,32,26,23,20,17,14,12,10,10,19.82,8.03,4.15,3.37,2.98,2.59,2.2,1.81,1.55,1.3,1.3,27280.960000000006,4075678.600000001,35.38386511024644,0
2017-09-22,382,269,166,124,99,88,76,70,63,59,56,49.48,34.84,21.5,16.06,12.82,11.4,9.84,9.07,8.16,7.64,7.25,91798.91999999988,4151065.4899999993,119.06474708171191,4
